periode;harga
2020-12-01;889939
2020-12-02;884894
2020-12-03;877326
2020-12-04;880858
2020-12-05;883380
2020-12-06;883380
2020-12-07;898515
2020-12-08;895993
2020-12-09;885903
2020-12-10;889939
2020-12-11;891452
2020-12-12;889939
2020-12-13;889939
2020-12-14;883885
2020-12-15;894984
2020-12-16;890443
2020-12-17;907092
2020-12-18;906083
2020-12-19;901542
2020-12-20;901542
2020-12-21;903560
2020-12-22;901038
2020-12-23;907596
2020-12-24;910623
2020-12-25;912137
2020-12-26;903560
2020-12-27;903560
2020-12-28;898515
2020-12-29;906083
2020-12-30;901038
2020-12-31;909614
2021-01-01;916173
2021-01-02;916677
2021-01-03;916677
2021-01-04;918191
2021-01-05;912641
2021-01-06;897002
2021-01-07;924749
2021-01-08;889939
2021-01-09;887416
2021-01-10;887416
2021-01-11;910623
2021-01-12;892461
2021-01-13;894479
2021-01-14;895993
2021-01-15;885398
2021-01-16;887921
2021-01-17;887921
2021-01-18;896497
2021-01-19;897506
2021-01-20;905578
2021-01-21;894984
